time,open,high,low,close
1672574400,16558.5,16574,16537.2,16560.2
1672588800,16560,16623.8,16559.9,16604.7
1672603200,16604.6,16625,16590,16615.1
1672617600,16615.1,16710.7,16548.1,16662.9
1672632000,16663,16765.5,16623.8,16720.3
1672646400,16720.2,16768.4,16704.3,16736
1672660800,16736.1,16750,16672.3,16735.5
1672675200,16735.4,16741,16708.4,16735.6
1672689600,16735.7,16799.3,16664.4,16673.3
1672704000,16673.3,16711,16652.3,16692.9
1672718400,16693,16774,16683.2,16730.6
1672732800,16730.7,16758.5,16699.8,16722.5
1672747200,16722.6,16771.6,16621.3,16679.8
1672761600,16679.8,16688.6,16610.4,16646.2
1672776000,16646.2,16695.2,16644.7,16676.8
1672790400,16676.8,16877.4,16655.4,16865.3
1672804800,16866.3,16910,16843.1,16873.3
1672819200,16873.2,16915.3,16834.1,16838.5
1672833600,16838.6,16864.1,16768.9,16855
1672848000,16855.8,16988,16791.5,16841
1672862400,16841,16866.6,16780,16852
1672876800,16852,16877.8,16812.9,16828
1672891200,16828,16848.3,16793.2,16823
1672905600,16822.9,16837.2,16785,16834.2
1672920000,16834.3,16879.2,16760.1,16846.8
1672934400,16846.8,16876.7,16801.2,16866.1
1672948800,16866.2,16869.1,16823,16832.5
1672963200,16832.5,16868,16804.4,16833.5
1672977600,16833.3,16834.8,16780,16793.3
1672992000,16793.3,16810,16708.9,16741.5
1673006400,16741.5,16846.6,16680.7,16843.2
1673020800,16843.3,16962.1,16809.9,16938.5
1673035200,16938.5,17034.5,16890.4,16950.6
1673049600,16950.7,16980,16935.2,16953.2
1673064000,16953.2,16954,16924.6,16947.9
1673078400,16947.9,16953.1,16914.2,16922.9
1673092800,16923,16947,16908.7,16941.1
1673107200,16941.1,16945.3,16917.1,16945.3
1673121600,16945.3,16950,16931.8,16945.5
1673136000,16945.6,16954.9,16915,16944.7
1673150400,16944.7,16955.7,16937.2,16954.9
1673164800,16954.9,16965.7,16927.8,16927.8
1673179200,16927.8,17019.2,16921.4,17000.8
1673193600,17000.8,17022.9,16921.3,16929.4
1673208000,16929.3,17179.7,16927,17129.3
1673222400,17129.3,17252.3,17107.2,17198.2
1673236800,17198.3,17255.2,17185,17202.1
1673251200,17202,17283.6,17189.4,17239.9
1673265600,17240,17333,17196.7,17273.5
1673280000,17273.4,17395.7,17271.9,17296.8
1673294400,17296.8,17308.6,17133.3,17181.2
1673308800,17181.1,17234.2,17150.3,17208
1673323200,17208,17233,17190.8,17202.8
1673337600,17202.8,17282.8,17191.8,17255.1
1673352000,17254.9,17371.2,17213.2,17323.7
1673366400,17324.6,17448,17282.9,17427.8
1673380800,17427.8,17486.4,17403,17439
1673395200,17439,17502.8,17369,17414.2
1673409600,17414.2,17459,17389,17445.5
1673424000,17445.6,17470.4,17410.4,17437.8
1673438400,17437.8,17437.8,17320.9,17334.7
1673452800,17334.5,17555,17328.7,17548.3
1673467200,17548.4,18000,17511.9,17945.2
1673481600,17945.1,18379.9,17909,18222.7
1673496000,18222.7,18237.8,18077.2,18137.2
1673510400,18137.3,18218.1,18073.1,18198.9
1673524800,18198.2,18350,17932,18087.7
1673539200,18087,19056.9,18060.4,18883
1673553600,18883,19112.6,18759.1,18844.2
1673568000,18844.2,18885,18715.9,18875.7
1673582400,18875.7,18878.6,18781.1,18818.2
1673596800,18818.2,19050,18810.3,18922.5
1673611200,18922.6,19306.4,18811.5,19260.2
1673625600,19260.2,19400,19060.4,19361
1673640000,19362.4,20004,19319.9,19928.4
1673654400,19928.5,21482.8,19895,20976.6
1673668800,20972.8,21044.2,20786.8,20905.4
1673683200,20904.2,21050.7,20239.1,20724.7
1673697600,20724.7,21200,20536.3,20792.4
1673712000,20788.5,20921.4,20660.1,20788.7
1673726400,20787.6,21079.9,20767.7,20950.7
1673740800,20950.7,20996.7,20555.3,20718.3
1673755200,20720.9,20781,20666.6,20736.2
1673769600,20736.3,20763.4,20572.6,20726.3
1673784000,20726.4,20998,20657.8,20911.7
1673798400,20911.7,21063.8,20658.1,20867.6
1673812800,20867.7,20954,20734.2,20874.4
1673827200,20873.1,21431.8,20779,21076.8
1673841600,21076.8,21266.3,21045.8,21111
1673856000,21111,21111,20640.3,20818.3
1673870400,20818.3,21067.9,20603,20993.9
1673884800,20993.9,21400,20917.1,21307.8
1673899200,21309.8,21465.3,21046.7,21183.8
1673913600,21183.9,21292.9,20839.7,21121.9
1673928000,21121.9,21228.7,21059.5,21134.7
1673942400,21134.7,21243.5,21081,21220.5
1673956800,21220.4,21634.5,21016.2,21173.4
1673971200,21173.4,21411,21083.4,21332.6
1673985600,21332.6,21403.4,21121.8,21125.5
1674000000,21127,21370,21100.3,21258.8
1674014400,21258.9,21318.1,21230.9,21304
1674028800,21304.1,21311.9,21145,21205.6
1674043200,21205.7,21664.6,20837.9,21035.1
1674057600,21035.1,21135.6,20400,20900
1674072000,20901.2,20932.8,20623.8,20674.2
1674086400,20672.5,20814.6,20660,20747.4
1674100800,20747.5,20872.3,20745,20816.7
1674115200,20819,20846.2,20706.7,20743.1
1674129600,20743.1,20956.3,20662.3,20873.8
1674144000,20873.9,21137.4,20792.5,21092.3
1674158400,21092.3,21179.1,20920,21072.7
1674172800,21072.7,21215.3,21011.4,21088.3
1674187200,21087.3,21123.3,20860.4,20956.2
1674201600,20956.7,20990,20902.9,20963.1
1674216000,20963.2,21245.5,20954.7,21144.9
1674230400,21145,21521.2,21143.6,21496.9
1674244800,21495.4,22747,21495.4,22665.6
1674259200,22665.7,22789.2,22428.6,22546.5
1674273600,22546.4,22669.9,22513.4,22637
1674288000,22637.1,23327.8,22568.9,22903
1674302400,22904.8,23274.9,22849.4,22996
1674316800,22995.5,23379,22982.7,23275.1
1674331200,23275.2,23300.9,22681.7,22779
1674345600,22780,22976.6,22610.3,22760.6
1674360000,22758.4,22962.3,22721.1,22895.2
1674374400,22894.4,22930,22729.4,22780
1674388800,22784.7,23074.4,22639.9,22788.7
1674403200,22788.7,22956.1,22678,22718.4
1674417600,22720,22787,22306.6,22708.5
1674432000,22708.4,22823.7,22655.6,22661.8
1674446400,22661.8,22788,22609.5,22692.4
1674460800,22692.5,22955,22664.2,22903.1
1674475200,22903.2,23123.2,22498.1,22852
1674489600,22852.1,23185.2,22658,22794.8
1674504000,22794.7,23043.4,22760.8,22914.8
1674518400,22914.9,23143.1,22865.6,23082.6
1674532800,23082.5,23159.8,23010.7,23053.7
1674547200,23053.6,23089.5,22773.3,22919.3
1674561600,22919.3,23031.3,22700,22928.1
1674576000,22928.2,23083.8,22787.2,23016.9
1674590400,23018.6,23079.6,22457.1,22629.6
1674604800,22629.6,22700,22332.1,22642.6
1674619200,22642.7,22768,22604.3,22713.1
1674633600,22713.1,22738.6,22468.7,22598
1674648000,22597.9,22745.1,22344.9,22579.1
1674662400,22579.2,22760.7,22518.3,22752.3
1674676800,22750.6,23818.7,22750.6,23052.6
1674691200,23060.8,23284,23046.9,23133.7
1674705600,23134,23192.4,22900,22967.7
1674720000,22967.8,23046.1,22847.6,22988.3
1674734400,22988.3,23240.8,22860.4,22958.1
1674748800,22957.7,23106.4,22858.7,23069.8
1674763200,23070.3,23164.7,22967.9,23010
1674777600,23010.1,23072.8,22526.3,22771.8
1674792000,22771.9,23104.5,22764.2,23072.7
1674806400,23072.8,23080,22906.6,22966
1674820800,22966,23142.4,22841,22934.4
1674835200,22933.3,23283.8,22925.7,23252.8
1674849600,23252.9,23500,22955.9,23074.8
1674864000,23074.8,23185,23045.2,23120.2
1674878400,23120.2,23132.7,22954.6,22991.9
1674892800,22992,23017.1,22896.1,22981.3
1674907200,22981.4,23041.2,22879.4,23013.3
1674921600,23013.8,23050,22976.5,23038.9
1674936000,23038.9,23044.2,22943.1,23025.1
1674950400,23025.1,23495,22970.7,23192.4
1674964800,23193.8,23265.5,23150.3,23202.9
1674979200,23202.9,23619.7,23158.2,23429.5
1674993600,23430.8,23652.4,23353.3,23527
1675008000,23526.9,23963,23475.1,23898.5
1675022400,23898.5,23911.5,23605,23740
1675036800,23743.7,23798.1,23569.5,23698.1
1675051200,23698.2,23761.9,23601.4,23647.4
1675065600,23643.9,23672.1,23016.8,23079.3
1675080000,23077.2,23297,22959.7,23176.2
1675094400,23176.2,23244.7,22614.2,22780
1675108800,22780,22835.6,22483,22825.1
1675123200,22825,22912.4,22718.7,22832.9
1675137600,22833,22987.8,22745.1,22977.9
1675152000,22977.8,22993.2,22812.5,22865.8
1675166400,22866.9,23209.9,22853.8,23122.3
1675180800,23123.5,23223,23085.3,23169
1675195200,23167.2,23347.7,22819,23127.6
1675209600,23130,23184.5,22991.1,23127.5
1675224000,23127.5,23167.4,23022.9,23077.8
1675238400,23077.7,23097.3,22918.9,23074.9
1675252800,23075,23141.1,22943,22984.1
1675267200,22984,23494.1,22756,23381
1675281600,23381.1,23850,23323.4,23728.7
1675296000,23729,24252.7,23694.5,23857.1
1675310400,23857.2,23919,23664.4,23781.2
1675324800,23781.2,23853,23750.1,23822.6
1675339200,23822.6,23941.3,23525,23838.2
1675353600,23843.9,24148.1,23729.2,23807.1
1675368000,23807.2,23925,23362.5,23487.8
1675382400,23490.2,23587.4,23414.2,23535
1675396800,23535.1,23563.3,23438.1,23453
1675411200,23452.9,23537.4,23325.7,23533.4
1675425600,23533.4,23708.3,23221,23601
1675440000,23603.6,23722.5,23303.2,23310.1
1675454400,23310,23469.1,23211,23431.2
1675468800,23431.3,23460,23333.4,23340
1675483200,23340,23357.5,23255.4,23330.4
1675497600,23327.7,23372,23292.4,23363.4
1675512000,23363.4,23583.6,23342.8,23420.4
1675526400,23420.4,23469.1,23362.5,23427.2
1675540800,23427.3,23446,23263,23324.7
1675555200,23324.8,23370.2,23229.3,23344.2
1675569600,23344.2,23432.1,23329.8,23380.8
1675584000,23380.8,23415.9,23346.2,23357.8
1675598400,23357.8,23373.7,23008,23099.2
1675612800,23099.1,23159.6,22754.6,22891.6
1675627200,22891.7,23032.1,22800.4,22933.1
1675641600,22933.3,23093,22831.4,22895.5
1675656000,22895.5,22925,22617.6,22878.2
1675670400,22878.2,22934.3,22736,22877.4
1675684800,22879.4,23053,22745.2,23042.1
1675699200,23044,23158.5,22927.8,23031
1675713600,23028.4,23029.8,22638,22761.7
1675728000,22761.7,22897.9,22747.1,22878
1675742400,22878.6,22984.8,22865.1,22913.1
1675756800,22911.3,23059.7,22868.2,22977.9
1675771200,22977.9,23037.7,22880.9,22909.1
1675785600,22909.1,23349.9,22768.2,23095.8
1675800000,23093.3,23300,23029.2,23246.1
1675814400,23246.1,23457.1,23231,23261
1675828800,23257.3,23285.3,23187,23234.2
1675843200,23234.3,23237.6,23136.3,23159.9
1675857600,23159.9,23199.1,22860,22869.9
1675872000,22866.3,23049.9,22673.8,22874.7
1675886400,22874.7,22977.5,22781.6,22960
1675900800,22960,23009.9,22428,22516.6
1675915200,22516.6,22731.9,22358,22677.9
1675929600,22677.8,22769.6,22657.8,22686.7
1675944000,22686.6,22840.9,22561.9,22614.7
1675958400,22613.8,22621.4,21877,22032.1
1675972800,22032,22083.8,21678,21795
1675987200,21795,21933.3,21758.4,21821
1676001600,21821.1,21925,21625,21913
1676016000,21912.2,21927.7,21715.8,21731.7
1676030400,21731.7,21899.7,21518,21655.7
1676044800,21651.9,21793.9,21561.6,21772.9
1676059200,21773.3,21790.4,21440,21628.3
1676073600,21628.4,21721.5,21600.1,21680.1
1676088000,21680.1,21709,21646.3,21691.5
1676102400,21691.5,21701,21656.6,21695.8
1676116800,21695.9,21769.8,21665.1,21733.8
1676131200,21733.9,21735.9,21620.4,21658.2
1676145600,21658.2,21898.5,21646.4,21856.2
1676160000,21856.2,21881,21766.9,21777.4
1676174400,21778.5,21811.3,21760,21798.1
1676188800,21798.1,21950,21798.1,21891.5
1676203200,21891.5,22000,21764,21943.1
1676217600,21943.1,22083.5,21914.2,21992.5
1676232000,21992.6,22023.6,21628.5,21784.5
1676246400,21784.7,21867.7,21628.3,21809.9
1676260800,21809.9,21895.2,21799,21870.9
1676275200,21871,21876.2,21421.9,21605.1
1676289600,21607.9,21708.3,21561,21566.4
1676304000,21567.3,21675.8,21356.5,21608.3
1676318400,21608.4,21847.7,21566.3,21776.8
1676332800,21776.9,21814.5,21681.7,21698
1676347200,21697.9,21784.6,21688,21765.4
1676361600,21765.5,21871.2,21673.7,21805.5
1676376000,21805.4,22319.8,21540,22039.6
1676390400,22041.7,22242.5,21919.3,22208
1676404800,22211.1,22278.3,22125.1,22197.9
1676419200,22197.6,22197.6,22048,22099
1676433600,22101,22171.8,22075,22107.8
1676448000,22107.8,22487.8,22089.1,22441.9
1676462400,22439.4,22908.1,22439.4,22811.3
1676476800,22807.7,23360,22746.1,23319.1
1676491200,23324.4,24381.4,23299.1,24328.8
1676505600,24329.2,24911.9,24285.1,24733.2
1676520000,24733.3,24756.1,24443.7,24618.7
1676534400,24618.6,24662.4,24509.7,24572.1
1676548800,24572.1,25080,24286.8,25070.9
1676563200,25071.4,25249.9,24610,24876.4
1676577600,24871.1,24877.7,23502.4,23512.2
1676592000,23509.8,23912.8,23337.1,23835.1
1676606400,23835.1,23881.6,23612.3,23634.1
1676620800,23632.8,23861.4,23528.1,23790.5
1676635200,23790.2,24281,23708.7,24130.2
1676649600,24126.2,24556.8,23911.7,24525.9
1676664000,24525.9,25025,24055,24571.8
1676678400,24570.7,24784.1,24508.8,24608.5
1676692800,24608.6,24673.6,24427.6,24518.8
1676707200,24519,24604.2,24438.1,24521.2
1676721600,24521.2,24729.9,24486.2,24666
1676736000,24666,24875,24568.2,24605.3
1676750400,24607.1,24664.4,24503.6,24633.7
1676764800,24633.7,24765.6,24624.1,24678.6
1676779200,24678.6,24846.1,24564.7,24579.6
1676793600,24579.7,24708.8,24559.4,24671.1
1676808000,24671.2,25046,24658,24922.9
1676822400,24923.4,25187,24279.8,24514.3
1676836800,24519.3,24575.8,24182.1,24276
1676851200,24276.1,24467.1,23836.5,24416
1676865600,24416.1,24553.5,24402.1,24502.2
1676880000,24502.3,24985.7,24377.2,24884.7
1676894400,24887,25129.2,24725.2,24944.5
1676908800,24944.6,24953.7,24620.7,24874.8
1676923200,24877.9,24889.5,24650.7,24843.1
1676937600,24843,25100,24783.5,24925.9
1676952000,24926,25049.3,24852.6,25000.1
1676966400,25004.1,25320,24547,24569.9
1676980800,24567.9,24781.6,24390.5,24557.6
1676995200,24557.6,24750.6,24279.8,24605.3
1677009600,24605.4,24636,24150.2,24450
1677024000,24450,24471,23866,24200.8
1677038400,24200.9,24220.1,23931,24061.4
1677052800,24060.2,24206.4,23866,24162.1
1677067200,24162.1,24230.8,23636.1,23716.8
1677081600,23714,23968.8,23579.5,23791.9
1677096000,23794.6,24213.2,23738.4,24190
1677110400,24190,24602.9,24121.9,24455.6
1677124800,24455.7,24530.7,24314.2,24379.2
1677139200,24379,24493.2,23650.8,23780.1
1677153600,23780.1,24226.7,23605.3,23950.2
1677168000,23950.1,24050,23725,23970.6
1677182400,23972.8,24066,23757.8,23938.8
1677196800,23938.9,24131,23889.8,23954.4
1677211200,23954.5,23980,23773.4,23832.4
1677225600,23832.4,23970.8,23757.3,23886.9
1677240000,23887,24025.2,23333.9,23349
1677254400,23350.1,23353.8,22836.1,23178.5
1677268800,23181.8,23330.2,22979.5,23190.1
1677283200,23190.2,23217.8,23050,23074.2
1677297600,23077.7,23124,23023.5,23121.8
1677312000,23121.8,23152.4,22914.5,22983.8
1677326400,22983.8,23081.2,22863.7,23000.5
1677340800,23002.8,23083.1,22917,22990.2
1677355200,22986.3,23185.1,22729.4,23157.2
1677369600,23157.3,23249.6,23060.7,23214.9
1677384000,23215,23223.5,23094,23153.5
1677398400,23153.5,23288.9,23116.2,23252.9
1677412800,23253,23332.9,23130,23247.9
1677427200,23248,23542.7,23132.3,23501.3
1677441600,23503.6,23686.7,23329.9,23557.4
1677456000,23552.7,23638.7,23436,23551.3
1677470400,23550.7,23556.3,23350.3,23421.7
1677484800,23419.6,23448.8,23339.7,23429.8
1677499200,23429.9,23891.2,23380.5,23555.9
1677513600,23556,23614.6,23162.2,23280.1
1677528000,23280,23576,23101,23491.2
1677542400,23491.2,23548.9,23354,23463.2
1677556800,23464.4,23468.1,23216.8,23235.6
1677571200,23236.4,23417.8,23208,23396.4
1677585600,23396.4,23575,23321.6,23521
1677600000,23521.1,23600,23202.3,23259.4
1677614400,23261.8,23349.3,23025.5,23136
1677628800,23143.1,23500,23009.7,23444.1
1677643200,23444,23846,23427.7,23718
1677657600,23717.9,24009,23667.6,23739.9
1677672000,23739.8,23882.6,23570.3,23712.4
1677686400,23712.3,23751.2,23331.7,23357.5
1677700800,23354.3,23672,23300.3,23632.4
1677715200,23632,23792.7,23431.3,23497.9
1677729600,23498.8,23544.5,23341.8,23391.1
1677744000,23391.9,23465.5,23342,23418.1
1677758400,23418.1,23434.2,23181.5,23361.1
1677772800,23361,23500,23233.9,23469.4
1677787200,23464.6,23566.7,23392.2,23466
1677801600,23465.9,23472.9,21898,22319
1677816000,22319.1,22407,22252.1,22361.6
1677830400,22361.6,22474.5,22305,22343.8
1677844800,22343.9,22503.7,22156.3,22336.4
1677859200,22336.5,22446.1,22230.2,22358.6
1677873600,22357.9,22377.3,22150,22354.5
1677888000,22354.4,22391,22325.3,22350.6
1677902400,22350.6,22403.8,22271.6,22356.4
1677916800,22356.5,22370,22328.5,22349.3
1677931200,22349.4,22396.2,22310,22315.5
1677945600,22315.6,22346,22229.1,22245.4
1677960000,22245.5,22364.7,22164.5,22349.7
